date,open,high,low,close,adj_close,volume
2018-01-02,1261.030029296875,1287.739990234375,1258.77001953125,1287.699951171875,1287.699951171875,0.0
2018-01-03,1291.6600341796875,1310.3699951171875,1291.2900390625,1309.8599853515625,1309.8599853515625,0.0
2018-01-04,1315.27001953125,1321.1099853515625,1306.3699951171875,1317.239990234375,1317.239990234375,0.0
2018-01-05,1321.1700439453125,1330.31005859375,1316.1300048828125,1325.7099609375,1325.7099609375,0.0
2018-01-08,1323.449951171875,1339.3699951171875,1321.969970703125,1335.5400390625,1335.5400390625,0.0
2018-01-09,1335.0699462890625,1337.1099853515625,1320.8199462890625,1322.5699462890625,1322.5699462890625,0.0
2018-01-10,1306.8299560546875,1312.010009765625,1296.0999755859375,1306.219970703125,1306.219970703125,0.0
2018-01-11,1309.3499755859375,1314.8399658203125,1305.199951171875,1314.3399658203125,1314.3399658203125,0.0
2018-01-12,1315.030029296875,1324.239990234375,1310.780029296875,1322.0999755859375,1322.0999755859375,0.0
2018-01-16,1334.530029296875,1340.9599609375,1318.5400390625,1325.969970703125,1325.969970703125,0.0
2018-01-17,1338.0699462890625,1366.0999755859375,1336.969970703125,1364.2900390625,1364.2900390625,0.0
2018-01-18,1363.469970703125,1377.1700439453125,1362.5,1370.56005859375,1370.56005859375,0.0
2018-01-19,1375.93994140625,1378.1600341796875,1363.8800048828125,1372.030029296875,1372.030029296875,0.0
2018-01-22,1372.5799560546875,1382.4100341796875,1367.6400146484375,1382.4100341796875,1382.4100341796875,0.0
2018-01-23,1386.5899658203125,1393.4000244140625,1383.1800537109375,1392.8599853515625,1392.8599853515625,0.0
2018-01-24,1373.7900390625,1383.719970703125,1351.72998046875,1360.6800537109375,1360.6800537109375,0.0
2018-01-25,1376.239990234375,1379.27001953125,1337.6199951171875,1337.6199951171875,1337.6199951171875,0.0
2018-01-26,1357.3900146484375,1381.280029296875,1355.4100341796875,1381.27001953125,1381.27001953125,0.0
2018-01-29,1372.719970703125,1388.2900390625,1362.219970703125,1378.4200439453125,1378.4200439453125,0.0
2018-01-30,1354.8199462890625,1366.280029296875,1348.93994140625,1350.43994140625,1350.43994140625,0.0
2018-01-31,1367.6400146484375,1370.9000244140625,1354.1300048828125,1361.5,1361.5,0.0
2018-02-01,1352.530029296875,1374.8699951171875,1349.9000244140625,1355.0699462890625,1355.0699462890625,0.0
2018-02-02,1341.27001953125,1344.469970703125,1317.7900390625,1317.97998046875,1317.97998046875,0.0
2018-02-05,1303.050048828125,1328.0699462890625,1253.0899658203125,1255.81005859375,1255.81005859375,0.0
2018-02-06,1241.5699462890625,1302.3900146484375,1238.6400146484375,1301.6600341796875,1301.6600341796875,0.0
2018-02-07,1287.8900146484375,1303.8299560546875,1272.5,1272.5,1272.5,0.0
2018-02-08,1277.8399658203125,1280.1700439453125,1218.6600341796875,1218.6600341796875,1218.6600341796875,0.0
2018-02-09,1246.8599853515625,1263.4100341796875,1203.6600341796875,1255.81005859375,1255.81005859375,0.0
2018-02-12,1268.2900390625,1287.1500244140625,1259.6400146484375,1279.1400146484375,1279.1400146484375,0.0
2018-02-13,1270.77001953125,1279.8800048828125,1266.6099853515625,1278.510009765625,1278.510009765625,0.0
2018-02-14,1270.699951171875,1309.050048828125,1269.9100341796875,1307.050048828125,1307.050048828125,0.0
2018-02-15,1316.4300537109375,1322.989990234375,1291.780029296875,1322.949951171875,1322.949951171875,0.0
2018-02-16,1318.1600341796875,1334.31005859375,1317.72998046875,1318.3199462890625,1318.3199462890625,0.0
2018-02-20,1314.010009765625,1353.3599853515625,1313.969970703125,1341.530029296875,1341.530029296875,0.0
2018-02-21,1345.969970703125,1349.4100341796875,1324.7900390625,1325.3499755859375,1325.3499755859375,0.0
2018-02-22,1330.2099609375,1336.3399658203125,1318.510009765625,1322.0899658203125,1322.0899658203125,0.0
2018-02-23,1336.719970703125,1351.1300048828125,1332.3399658203125,1351.0899658203125,1351.0899658203125,0.0
2018-02-26,1360.0899658203125,1380.27001953125,1359.18994140625,1380.27001953125,1380.27001953125,0.0
2018-02-27,1379.010009765625,1397.989990234375,1374.719970703125,1374.719970703125,1374.719970703125,0.0
2018-02-28,1383.9100341796875,1385.9300537109375,1361.1300048828125,1362.02001953125,1362.02001953125,0.0
2018-03-01,1362.449951171875,1367.43994140625,1324.969970703125,1340.1400146484375,1340.1400146484375,0.0
2018-03-02,1324.550048828125,1365.6600341796875,1322.5999755859375,1363.780029296875,1363.780029296875,0.0
2018-03-05,1354.3299560546875,1382.4599609375,1349.9100341796875,1375.8599853515625,1375.8599853515625,0.0
2018-03-06,1386.2900390625,1399.989990234375,1381.510009765625,1396.469970703125,1396.469970703125,0.0
2018-03-07,1382.8199462890625,1402.3399658203125,1382.8199462890625,1400.469970703125,1400.469970703125,0.0
2018-03-08,1408.1500244140625,1409.25,1393.8599853515625,1402.050048828125,1402.050048828125,0.0
2018-03-09,1411.3599853515625,1431.3900146484375,1410.6700439453125,1431.1600341796875,1431.1600341796875,0.0
2018-03-12,1441.4100341796875,1453.5,1437.0799560546875,1445.9000244140625,1445.9000244140625,0.0
2018-03-13,1454.75,1464.6099853515625,1417.4599609375,1423.4599609375,1423.4599609375,0.0
2018-03-14,1429.9100341796875,1430.27001953125,1410.5999755859375,1423.5,1423.5,0.0
2018-03-15,1428.510009765625,1431.9599609375,1415.5699462890625,1422.0699462890625,1422.0699462890625,0.0
2018-03-16,1427.199951171875,1430.5699462890625,1419.9300537109375,1422.5400390625,1422.5400390625,0.0
2018-03-19,1409.4300537109375,1414.5,1375.3800048828125,1394.8199462890625,1394.8199462890625,0.0
2018-03-20,1397.6300048828125,1409.699951171875,1396.050048828125,1405.5,1405.5,0.0
2018-03-21,1403.4200439453125,1425.0699462890625,1401.469970703125,1407.97998046875,1407.97998046875,0.0
2018-03-22,1386.0699462890625,1399.6300048828125,1368.5,1368.97998046875,1368.97998046875,0.0
2018-03-23,1365.8199462890625,1370.2900390625,1323.9200439453125,1323.9200439453125,1323.9200439453125,0.0
2018-03-26,1354.300048828125,1380.1400146484375,1338.75,1380.0999755859375,1380.0999755859375,0.0
2018-03-27,1390.1099853515625,1391.010009765625,1317.9599609375,1327.93994140625,1327.93994140625,0.0
