date,open,high,low,close,adj_close,volume
2018-01-02,110.23999786376952,110.23999786376952,110.20999908447266,110.2300033569336,89.37158203125,692300
2018-01-03,110.22000122070312,110.23999786376952,110.20999908447266,110.2300033569336,89.37158203125,546700
2018-01-04,110.2300033569336,110.25,110.22000122070312,110.25,89.38775634765625,553000
2018-01-05,110.23999786376952,110.26000213623048,110.2300033569336,110.25,89.38775634765625,240100
2018-01-08,110.25,110.26000213623048,110.23999786376952,110.25,89.38775634765625,433500
2018-01-09,110.23999786376952,110.26000213623048,110.23999786376952,110.25,89.38775634765625,410700
2018-01-10,110.25,110.26000213623048,110.2300033569336,110.23999786376952,89.37964630126953,1411000
2018-01-11,110.25,110.26000213623048,110.23999786376952,110.25,89.38775634765625,780900
2018-01-12,110.25,110.2699966430664,110.25,110.26000213623048,89.39590454101562,703300
2018-01-16,110.2699966430664,110.29000091552734,110.26000213623048,110.2699966430664,89.40401458740234,1013900
2018-01-17,110.2699966430664,110.29000091552734,110.2699966430664,110.27999877929688,89.41207885742188,847100
2018-01-18,110.27999877929688,110.3000030517578,110.2699966430664,110.29000091552734,89.4201889038086,527100
2018-01-19,110.3000030517578,110.3000030517578,110.29000091552734,110.29000091552734,89.4201889038086,1240800
2018-01-22,110.29000091552734,110.30999755859376,110.29000091552734,110.3000030517578,89.4283218383789,850800
2018-01-23,110.3000030517578,110.31999969482422,110.29000091552734,110.29000091552734,89.4201889038086,534200
2018-01-24,110.3000030517578,110.31999969482422,110.3000030517578,110.30999755859376,89.4364242553711,1512900
2018-01-25,110.31999969482422,110.33000183105467,110.30999755859376,110.31999969482422,89.44454193115234,2442200
2018-01-26,110.33000183105467,110.33999633789062,110.31999969482422,110.33000183105467,89.45262908935547,1028000
2018-01-29,110.31999969482422,110.33999633789062,110.31999969482422,110.33000183105467,89.45262908935547,628000
2018-01-30,110.33000183105467,110.3499984741211,110.31999969482422,110.33000183105467,89.45262908935547,1244000
2018-01-31,110.33999633789062,110.37999725341795,110.31999969482422,110.37999725341795,89.4931869506836,826800
